Orario di rilevazione	Numero registratore di dati	Potenza [W]	Energia di oggi [kWh]	Rendimento conteggiato [kWh]	Intensità di irradiamento [W/mý]	Energia di irradiamento odierna [kWh]
2019-07-01 12:10:00	0	121186	11.542			
2019-07-01 12:20:00	0	122813	32.039			
2019-07-01 12:30:00	0	123172	52.367			
2019-07-01 12:40:00	0	123966	73.16			
2019-07-01 12:50:00	0	124218	94.044			
2019-07-01 13:00:00	0	125277	114.599			
2019-07-01 13:10:00	0	126280	135.973			
2019-07-01 13:20:00	0	125501	156.542			
2019-07-01 13:30:00	0	126090	177.472			
2019-07-01 13:40:00	0	125771	198.429			
2019-07-01 13:50:00	0	124799	219.559			
2019-07-01 14:00:00	0	126426	240.36			
2019-07-01 14:10:00	0	126182	261.456			
2019-07-01 14:20:00	0	125148	282.398			
2019-07-01 14:30:00	0	124375	303.004			
2019-07-01 14:40:00	0	124014	323.686			
2019-07-01 14:50:00	0	122747	344.27			
2019-07-01 15:00:00	0	121634	364.645			
2019-07-01 15:10:00	0	120853	384.883			
2019-07-01 15:20:00	0	119442	404.727			
2019-07-01 15:30:00	0	117310	424.359			
2019-07-01 15:40:00	0	115138	443.421			
2019-07-01 15:50:00	0	111991	461.968			
2019-07-01 16:00:00	0	110899	480.61			
2019-07-01 16:10:00	0	108424	498.725			
2019-07-01 16:20:00	0	106080	516.295			
2019-07-01 16:30:00	0	103896	533.766			
2019-07-01 16:40:00	0	101423	550.613			
2019-07-01 16:50:00	0	99049	567.3			
2019-07-01 17:00:00	0	97405	583.226			
2019-07-01 17:10:00	0	62121	594.251			
2019-07-01 17:20:00	0	98620	610.676			
2019-07-01 17:30:00	0	87194	625.508			
2019-07-01 17:40:00	0	86267	639.846			
2019-07-01 17:50:00	0	79041	653.091			
2019-07-01 18:00:00	0	74208	665.512			
2019-07-01 18:10:00	0	58942	675.359			
2019-07-01 18:20:00	0	27453	680.285			
2019-07-01 18:30:00	0	16691	683.067			
2019-07-01 18:40:00	0	12583	685.23			
2019-07-01 18:50:00	0	10978	686.996			
2019-07-01 19:00:00	0	18420	690.073			
2019-07-01 19:10:00	0	18878	693.156			
2019-07-01 19:20:00	0	19206	696.416			
2019-07-01 19:30:00	0	16854	699.254			
2019-07-01 19:40:00	0	15881	701.895			
2019-07-01 19:50:00	0	11390	703.866			
2019-07-01 20:00:00	0	8050	705.234			
2019-07-01 20:10:00	0	6074	706.266			
2019-07-01 20:20:00	0	3032	706.8			
2019-07-01 20:30:00	0	1038	706.968			
2019-07-01 20:40:00	0	377	707.062			
2019-07-01 20:50:00	0	28	707.07			
2019-07-01 21:00:00	0	4	707.078			
2019-07-01 21:10:00	0		707.078			
2019-07-01 21:20:00	0		707.078			
2019-07-01 21:30:00	0		707.078			
2019-07-01 21:40:00	0		707.078			
2019-07-01 21:50:00	0		707.078			
2019-07-01 22:00:00	0		707.078			
2019-07-01 22:10:00	0		707.078			
2019-07-01 22:20:00	0		707.078			
2019-07-01 22:30:00	0		707.078			
2019-07-01 22:40:00	0		707.078			
2019-07-01 22:50:00	0		707.078			
2019-07-01 23:00:00	0		707.078			
2019-07-01 23:10:00	0		707.078			
2019-07-02 06:00:00	0	509				
2019-07-02 06:10:00	0	1297	0.195			
2019-07-02 06:20:00	0	2773	0.615			
2019-07-02 06:30:00	0	4974	1.441			
2019-07-02 06:40:00	0	7477	2.659			
2019-07-02 06:50:00	0	10426	4.364			
2019-07-02 07:00:00	0	13614	6.593			
2019-07-02 07:10:00	0	17302	9.441			
2019-07-02 07:20:00	0	21048	12.9			
2019-07-02 07:30:00	0	25294	17.141			
2019-07-02 07:40:00	0	29855	22.013			
2019-07-02 07:50:00	0	34478	27.7			
2019-07-02 08:00:00	0	39226	34.214			
2019-07-02 08:10:00	0	44147	41.481			
2019-07-02 08:20:00	0	48919	49.707			
2019-07-02 08:30:00	0	53804	58.607			
2019-07-02 08:40:00	0	58422	68.239			
2019-07-02 08:50:00	0	62890	78.649			
2019-07-02 09:00:00	0	67128	89.662			
2019-07-02 09:10:00	0	71598	101.768			
2019-07-02 09:20:00	0	75810	114.086			
2019-07-02 09:30:00	0	80315	127.491			
2019-07-02 09:40:00	0	84483	141.484			
2019-07-02 09:50:00	0	88410	156.226			
2019-07-02 10:00:00	0	92071	171.716			
2019-07-02 10:10:00	0	95697	187.309			
2019-07-02 10:20:00	0	98645	203.842			
2019-07-02 10:30:00	0	101456	220.578			
2019-07-02 10:40:00	0	103851	238.01			
2019-07-02 10:50:00	0	106022	255.539			
2019-07-02 11:00:00	0	107997	273.434			
2019-07-02 11:10:00	0	110001	291.912			
2019-07-02 11:20:00	0	111779	310.383			
2019-07-02 11:30:00	0	113627	329.611			
2019-07-02 11:40:00	0	115822	348.982			
2019-07-02 11:50:00	0	117174	368.383			
2019-07-02 12:00:00	0	119001	388.26			
2019-07-02 12:10:00	0	120479	408.094			
2019-07-02 12:20:00	0	123074	428.583			
2019-07-02 12:30:00	0	124117	449.31			
2019-07-02 12:40:00	0	124270	470.249			
2019-07-02 12:50:00	0	125103	490.668			
2019-07-02 13:00:00	0	125907	511.788			
2019-07-02 13:10:00	0	126426	532.835			
2019-07-02 13:20:00	0	127580	554.356			
2019-07-02 13:30:00	0	127555	575.219			
2019-07-02 13:40:00	0	128260	596.725			
2019-07-02 13:50:00	0	128603	618.016			
2019-07-02 14:00:00	0	130054	639.64			
2019-07-02 14:10:00	0	131856	661.876			
2019-07-02 14:20:00	0	132667	683.857			
2019-07-02 14:30:00	0	138884	706.934			
2019-07-02 14:40:00	0	123598	727.91			
2019-07-02 14:50:00	0	89284	743.279			
2019-07-02 15:00:00	0	47259	751.242			
2019-07-02 15:10:00	0	42574	758.333			
2019-07-02 15:20:00	0	35088	764.265			
2019-07-02 15:30:00	0	28202	769.051			
2019-07-02 15:40:00	0	22112	772.794			
