Orario di rilevazione	Numero registratore di dati	Potenza [W]	Energia di oggi [kWh]	Rendimento conteggiato [kWh]	Intensità di irradiamento [W/mý]	Energia di irradiamento odierna [kWh]
2019-07-02 15:50:00	0	17762	775.774			
2019-07-02 16:00:00	0	14743	778.23			
2019-07-02 16:10:00	0	11121	780.1			
2019-07-02 16:20:00	0	8347	781.573			
2019-07-02 16:30:00	0	7411	782.759			
2019-07-02 16:40:00	0	7515	784.04			
2019-07-02 16:50:00	0	8130	785.361			
2019-07-02 17:00:00	0	10062	787.02			
2019-07-02 17:10:00	0	14150	789.335			
2019-07-02 17:20:00	0	18963	792.46			
2019-07-02 17:30:00	0	20831	795.969			
2019-07-02 17:40:00	0	22074	799.558			
2019-07-02 17:50:00	0	21787	803.237			
2019-07-02 18:00:00	0	20349	806.67			
2019-07-02 18:10:00	0	19618	809.935			
2019-07-02 18:20:00	0	18049	812.945			
2019-07-02 18:30:00	0	15814	815.602			
2019-07-02 18:40:00	0	14286	817.993			
2019-07-02 18:50:00	0	12539	820.124			
2019-07-02 19:00:00	0	10840	821.941			
2019-07-02 19:10:00	0	10935	823.727			
2019-07-02 19:20:00	0	13234	825.945			
2019-07-02 19:30:00	0	14930	828.378			
2019-07-02 19:40:00	0	13336	830.649			
2019-07-02 19:50:00	0	11220	832.512			
2019-07-02 20:00:00	0	9975	834.227			
2019-07-02 20:10:00	0	7274	835.456			
2019-07-02 20:20:00	0	5154	836.331			
2019-07-02 20:30:00	0	3797	836.986			
2019-07-02 20:40:00	0	2866	837.467			
2019-07-02 20:50:00	0	1936	837.797			
2019-07-02 21:00:00	0	1032	837.949			
2019-07-02 21:10:00	0	188	838.026			
2019-07-02 21:20:00	0		838.026			
2019-07-02 21:30:00	0		838.026			
2019-07-02 21:40:00	0		838.026			
2019-07-02 21:50:00	0		838.026			
2019-07-02 22:00:00	0		838.026			
2019-07-02 22:10:00	0		838.026			
2019-07-02 22:20:00	0		838.026			
2019-07-02 22:30:00	0		838.026			
2019-07-02 22:40:00	0		838.026			
2019-07-02 22:50:00	0		838.026			
2019-07-02 23:00:00	0		838.026			
2019-07-02 23:10:00	0		838.026			
2019-07-03 06:30:00	0	6335	0.218			
2019-07-03 06:40:00	0	8210	1.507			
2019-07-03 06:50:00	0	10644	3.283			
2019-07-03 07:00:00	0	13844	5.54			
2019-07-03 07:10:00	0	17432	8.406			
2019-07-03 07:20:00	0	21479	11.984			
2019-07-03 07:30:00	0	25728	16.18			
2019-07-03 07:40:00	0	30385	21.255			
2019-07-03 07:50:00	0	34610	26.915			
2019-07-03 08:00:00	0	39324	33.438			
2019-07-03 08:10:00	0	43906	40.643			
2019-07-03 08:20:00	0	49043	48.879			
2019-07-03 08:30:00	0	53702	57.741			
2019-07-03 08:40:00	0	57936	67.302			
2019-07-03 08:50:00	0	62764	77.739			
2019-07-03 09:00:00	0	67526	88.905			
2019-07-03 09:10:00	0	71790	100.973			
2019-07-03 09:20:00	0	76340	113.44			
2019-07-03 09:30:00	0	80349	126.994			
2019-07-03 09:40:00	0	84017	140.966			
2019-07-03 09:50:00	0	87930	155.373			
2019-07-03 10:00:00	0	92549	170.951			
2019-07-03 10:10:00	0	96771	187.034			
2019-07-03 10:20:00	0	99734	203.597			
2019-07-03 10:30:00	0	101081	220.384			
2019-07-03 10:40:00	0	110388	238.618			
2019-07-03 10:50:00	0	84299	252.573			
2019-07-03 11:00:00	0	84241	266.957			
2019-07-03 11:10:00	0	97394	283.275			
2019-07-03 11:20:00	0	120844	302.801			
2019-07-03 11:30:00	0	120044	322.832			
2019-07-03 11:40:00	0	117562	342.604			
2019-07-03 11:50:00	0	119912	362.332			
2019-07-03 12:00:00	0	122376	382.844			
2019-07-03 12:10:00	0	123136	403.473			
2019-07-03 12:20:00	0	124750	424.213			
2019-07-03 12:30:00	0	125316	444.913			
2019-07-03 12:40:00	0	124855	465.535			
2019-07-03 12:50:00	0	125727	486.593			
2019-07-03 13:00:00	0	127100	507.712			
2019-07-03 13:10:00	0	122556	528.349			
2019-07-03 13:20:00	0	129016	549.705			
2019-07-03 13:30:00	0	130127	571.578			
2019-07-03 13:40:00	0	127878	592.795			
2019-07-03 13:50:00	0	131638	614.834			
2019-07-03 14:00:00	0	130597	636.557			
2019-07-03 14:10:00	0	128542	657.926			
2019-07-03 14:20:00	0	125799	679.181			
2019-07-03 14:30:00	0	81373	692.857			
2019-07-03 14:40:00	0	69901	704.64			
2019-07-03 14:50:00	0	66784	715.868			
2019-07-03 15:00:00	0	53079	724.862			
2019-07-03 15:10:00	0	47322	732.937			
2019-07-03 15:20:00	0	30881	738.125			
2019-07-03 15:30:00	0	25737	742.422			
2019-07-03 15:40:00	0	19559	745.73			
2019-07-03 15:50:00	0	13192	747.992			
2019-07-03 16:00:00	0	11818	749.949			
2019-07-03 16:10:00	0	11060	751.806			
2019-07-03 16:20:00	0	11273	753.677			
2019-07-03 16:30:00	0	17218	756.457			
2019-07-03 16:40:00	0	21902	760.137			
2019-07-03 16:50:00	0	26604	764.484			
2019-07-03 17:00:00	0	29685	769.424			
2019-07-03 17:10:00	0	34333	775.046			
2019-07-03 17:20:00	0	37509	781.219			
2019-07-03 17:30:00	0	41156	788.188			
2019-07-03 17:40:00	0	57523	797.394			
2019-07-03 17:50:00	0	57143	807.124			
2019-07-03 18:00:00	0	55045	816.204			
2019-07-03 18:10:00	0	43570	823.583			
2019-07-03 18:20:00	0	33115	829.262			
2019-07-03 18:30:00	0	25425	833.507			
2019-07-03 18:40:00	0	25741	837.816			
2019-07-03 18:50:00	0	24878	841.943			
2019-07-03 19:00:00	0	28824	846.7			
2019-07-03 19:10:00	0	21517	850.513			
2019-07-03 19:20:00	0	12032	852.582			
2019-07-03 19:30:00	0	12547	854.66			
2019-07-03 19:40:00	0	13124	856.871			
2019-07-03 19:50:00	0	11561	858.785			
2019-07-03 20:00:00	0	10308	860.519			
2019-07-03 20:10:00	0	9679	862.144			
2019-07-03 20:20:00	0	8957	863.645			
2019-07-03 20:30:00	0	7008	864.809			
2019-07-03 20:40:00	0	5340	865.732			
2019-07-03 20:50:00	0	3038	866.294			
2019-07-03 21:00:00	0	1160	866.48			
2019-07-03 21:10:00	0	192	866.546			
2019-07-03 21:20:00	0	2	866.566			
2019-07-03 21:30:00	0		866.566			
2019-07-03 21:40:00	0		866.566			
2019-07-03 21:50:00	0		866.566			
2019-07-03 22:00:00	0		866.566			
2019-07-03 22:10:00	0		866.566			
2019-07-03 22:20:00	0		866.566			
2019-07-03 22:30:00	0		866.566			
2019-07-03 22:40:00	0		866.566			
2019-07-03 22:50:00	0		866.566			
2019-07-03 23:00:00	0		866.566			
2019-07-03 23:10:00	0		866.566			
2019-07-04 06:50:00	0	10441	0.902			
2019-07-04 07:00:00	0	13163	3.09			
2019-07-04 07:10:00	0	17350	5.891			
2019-07-04 07:20:00	0	21849	9.461			
2019-07-04 07:30:00	0	19651	12.873			
2019-07-04 07:40:00	0	23276	16.637			
2019-07-04 07:50:00	0	26052	20.899			
2019-07-04 08:00:00	0	28069	25.549			
2019-07-04 08:10:00	0	31594	30.833			
2019-07-04 08:20:00	0	38834	37.194			
2019-07-04 08:30:00	0	40274	43.895			
2019-07-04 08:40:00	0	43326	51.152			
2019-07-04 08:50:00	0	50335	59.212			
2019-07-04 09:00:00	0	54281	68.442			
2019-07-04 09:10:00	0	61518	78.512			
2019-07-04 09:20:00	0	61521	88.664			
2019-07-04 09:30:00	0	77269	101.479			
2019-07-04 09:40:00	0	80941	114.96			
2019-07-04 09:50:00	0	85741	129.044			
2019-07-04 10:00:00	0	89537	144.304			
2019-07-04 10:10:00	0	92437	159.105			
2019-07-04 10:20:00	0	93345	174.636			
2019-07-04 10:30:00	0	101281	191.277			
2019-07-04 10:40:00	0	100099	207.954			
2019-07-04 10:50:00	0	106510	225.842			
2019-07-04 11:00:00	0	111338	244.15			
2019-07-04 11:10:00	0	112411	262.875			
2019-07-04 11:20:00	0	114332	282.063			
2019-07-04 11:30:00	0	115021	301.159			
2019-07-04 11:40:00	0	116518	320.457			
2019-07-04 11:50:00	0	118810	340.346			
2019-07-04 12:00:00	0	121677	360.821			
2019-07-04 12:10:00	0	123041	381.012			
2019-07-04 12:20:00	0	122999	401.674			
2019-07-04 12:30:00	0	124718	422.395			
2019-07-04 12:40:00	0	123215	442.888			
2019-07-04 12:50:00	0	124560	463.544			
2019-07-04 13:00:00	0	127385	484.824			
2019-07-04 13:10:00	0	127812	506.172			
2019-07-04 13:20:00	0	128411	527.414			
2019-07-04 13:30:00	0	129053	549.069			
2019-07-04 13:40:00	0	128681	570.206			
2019-07-04 13:50:00	0	129056	592.203			
2019-07-04 14:00:00	0	128177	613.527			
2019-07-04 14:10:00	0	128207	634.664			
2019-07-04 14:20:00	0	128462	656.25			
2019-07-04 14:30:00	0	126225	677.086			
2019-07-04 14:40:00	0	124647	697.738			
2019-07-04 14:50:00	0	122533	718.273			
2019-07-04 15:00:00	0	122933	739.07			
2019-07-04 15:10:00	0	121874	759.06			
2019-07-04 15:20:00	0	120692	779.133			
2019-07-04 15:30:00	0	118442	799.015			
2019-07-04 15:40:00	0	117576	818.575			
2019-07-04 15:50:00	0	106626	836.885			
2019-07-04 16:00:00	0	31145	842.44			
2019-07-04 16:10:00	0	29922	847.392			
2019-07-04 16:20:00	0	105064	863.993			
2019-07-04 16:30:00	0	115754	883.525			
2019-07-04 16:40:00	0	49207	892.445			
2019-07-04 16:50:00	0	65272	902.785			
2019-07-04 17:00:00	0	99811	919.508			
2019-07-04 17:10:00	0	93475	935.129			
2019-07-04 17:20:00	0	84008	949.286			
2019-07-04 17:30:00	0	70531	961.202			
2019-07-04 17:40:00	0	82760	974.512			
2019-07-04 17:50:00	0	79094	987.891			
2019-07-04 18:00:00	0	73998	1000.337			
2019-07-04 18:10:00	0	54900	1009.893			
2019-07-04 18:20:00	0	19748	1013.233			
2019-07-04 18:30:00	0	19908	1016.55			
2019-07-04 18:40:00	0	49898	1024.329			
2019-07-04 18:50:00	0	60359	1034.539			
2019-07-04 19:00:00	0	42966	1041.785			
2019-07-04 19:10:00	0	34624	1047.558			
2019-07-04 19:20:00	0	44303	1054.96			
2019-07-04 19:30:00	0	36573	1061.371			
2019-07-04 19:40:00	0	23899	1065.372			
2019-07-04 19:50:00	0	18512	1068.479			
2019-07-04 20:00:00	0	11346	1070.458			
2019-07-04 20:10:00	0	6750	1071.555			
2019-07-04 20:20:00	0	7086	1072.732			
2019-07-04 20:30:00	0	9795	1074.356			
2019-07-04 20:40:00	0	8811	1075.867			
2019-07-04 20:50:00	0	6674	1076.989			
2019-07-04 21:00:00	0	4914	1077.793			
2019-07-04 21:10:00	0	3683	1078.462			
2019-07-04 21:20:00	0	2497	1078.899			
2019-07-04 21:30:00	0	1086	1079.092			
2019-07-04 21:40:00	0	48	1079.112			
2019-07-04 21:50:00	0		1079.112			
2019-07-04 22:00:00	0		1079.112			
2019-07-04 22:10:00	0		1079.112			
2019-07-04 22:20:00	0		1079.112			
2019-07-04 22:30:00	0		1079.112			
2019-07-04 22:40:00	0		1079.112			
2019-07-04 22:50:00	0		1079.112			
2019-07-04 23:00:00	0		1079.112			
2019-07-04 23:10:00	0		1079.112			
2019-07-05 07:50:00	0	33409	0.883			
2019-07-05 08:00:00	0	36086	6.816			
2019-07-05 08:10:00	0	40662	13.433			
2019-07-05 08:20:00	0	46076	21.133			
2019-07-05 08:30:00	0	50704	29.629			
2019-07-05 08:40:00	0	55711	38.752			
2019-07-05 08:50:00	0	60743	48.905			
2019-07-05 09:00:00	0	65656	59.757			
2019-07-05 09:10:00	0	70255	71.331			
2019-07-05 09:20:00	0	74355	83.753			
2019-07-05 09:30:00	0	78577	96.778			
2019-07-05 09:40:00	0	82582	110.408			
2019-07-05 09:50:00	0	86269	124.742			
2019-07-05 10:00:00	0	89887	139.776			
2019-07-05 10:10:00	0	93636	155.156			
2019-07-05 10:20:00	0	96390	171.305			
2019-07-05 10:30:00	0	100162	187.969			
2019-07-05 10:40:00	0	104349	205.292			
2019-07-05 10:50:00	0	107404	223.167			
2019-07-05 11:00:00	0	109451	241.36			
2019-07-05 11:10:00	0	112983	260.195			
2019-07-05 11:20:00	0	114964	279.324			
2019-07-05 11:30:00	0	115912	298.712			
2019-07-05 11:40:00	0	117482	318.183			
2019-07-05 11:50:00	0	120136	338.205			
2019-07-05 12:00:00	0	121245	358.366			
2019-07-05 12:10:00	0	122611	378.835			
2019-07-05 12:20:00	0	122680	399.3			
2019-07-05 12:30:00	0	123423	419.856			
2019-07-05 12:40:00	0	125512	440.72			
2019-07-05 12:50:00	0	126592	461.836			
2019-07-05 13:00:00	0	126937	482.939			
2019-07-05 13:10:00	0	127113	504.169			
2019-07-05 13:20:00	0	127861	525.515			
2019-07-05 13:30:00	0	127922	546.803			
2019-07-05 13:40:00	0	128713	568.161			
2019-07-05 13:50:00	0	128227	589.571			
2019-07-05 14:00:00	0	128112	610.969			
2019-07-05 14:10:00	0	128125	632.282			
2019-07-05 14:20:00	0	127622	653.65			
2019-07-05 14:30:00	0	126154	674.659			
2019-07-05 14:40:00	0	126053	695.787			
2019-07-05 14:50:00	0	124371	716.508			
2019-07-05 15:00:00	0	122842	736.962			
2019-07-05 15:10:00	0	120800	757.128			
2019-07-05 15:20:00	0	118534	776.846			
2019-07-05 15:30:00	0	118308	796.558			
2019-07-05 15:40:00	0	114849	815.734			
2019-07-05 15:50:00	0	112498	834.527			
2019-07-05 16:00:00	0	110803	853.004			
2019-07-05 16:10:00	0	107954	871.013			
2019-07-05 16:20:00	0	104810	888.461			
2019-07-05 16:30:00	0	103016	905.685			
2019-07-05 16:40:00	0	101162	922.599			
2019-07-05 16:50:00	0	97948	938.968			
2019-07-05 17:00:00	0	93766	954.582			
2019-07-05 17:10:00	0	90733	969.76			
2019-07-05 17:20:00	0	87282	984.336			
2019-07-05 17:30:00	0	83122	998.229			
2019-07-05 17:40:00	0	78819	1011.433			
2019-07-05 17:50:00	0	75192	1023.976			
2019-07-05 18:00:00	0	71300	1035.928			
2019-07-05 18:10:00	0	67086	1047.134			
2019-07-05 18:20:00	0	62483	1057.574			
2019-07-05 18:30:00	0	57719	1067.235			
2019-07-05 18:40:00	0	52811	1076.086			
2019-07-05 18:50:00	0	48964	1084.292			
2019-07-05 19:00:00	0	44194	1091.697			
2019-07-05 19:10:00	0	39830	1098.396			
2019-07-05 19:20:00	0	34837	1104.246			
2019-07-05 19:30:00	0	30838	1109.418			
2019-07-05 19:40:00	0	26468	1113.869			
2019-07-05 19:50:00	0	22795	1117.732			
2019-07-05 20:00:00	0	18788	1120.888			
2019-07-05 20:10:00	0	15392	1123.477			
2019-07-05 20:20:00	0	12436	1125.582			
2019-07-05 20:30:00	0	8828	1127.08			
2019-07-05 20:40:00	0	6342	1128.183			
2019-07-05 20:50:00	0	3196	1128.751			
2019-07-05 21:00:00	0	1111	1128.947			
2019-07-05 21:10:00	0	348	1129.021			
2019-07-05 21:20:00	0	32	1129.028			
2019-07-05 21:30:00	0		1129.028			
2019-07-05 21:40:00	0		1129.028			
2019-07-05 21:50:00	0		1129.028			
2019-07-05 22:00:00	0		1129.028			
2019-07-05 22:10:00	0		1129.028			
2019-07-05 22:20:00	0		1129.028			
2019-07-05 22:30:00	0		1129.028			
2019-07-05 22:40:00	0		1129.028			
2019-07-05 22:50:00	0		1129.028			
2019-07-05 23:00:00	0		1129.028			
2019-07-05 23:10:00	0		1129.028			
2019-07-06 06:40:00	0	7906	0.032			
2019-07-06 06:50:00	0	9510	1.632			
2019-07-06 07:00:00	0	12511	3.631			
2019-07-06 07:10:00	0	15989	6.288			
2019-07-06 07:20:00	0	19733	9.527			
2019-07-06 07:30:00	0	23867	13.541			
2019-07-06 07:40:00	0	28394	18.164			
2019-07-06 07:50:00	0	32864	23.669			
2019-07-06 08:00:00	0	37190	29.799			
2019-07-06 08:10:00	0	41095	36.54			
2019-07-06 08:20:00	0	45785	44.119			
2019-07-06 08:30:00	0	50689	52.518			
2019-07-06 08:40:00	0	55502	61.708			
2019-07-06 08:50:00	0	59789	71.583			
2019-07-06 09:00:00	0	64098	82.405			
2019-07-06 09:10:00	0	68754	93.729			
2019-07-06 09:20:00	0	72219	105.863			
2019-07-06 09:30:00	0	76776	118.643			
2019-07-06 09:40:00	0	80830	131.996			
2019-07-06 09:50:00	0	84692	146.037			
2019-07-06 10:00:00	0	87803	160.489			
2019-07-06 18:50:00	0	44614	1046.598			
2019-07-06 19:00:00	0	41602	1053.56			
2019-07-06 19:10:00	0	36616	1059.64			
2019-07-06 19:20:00	0	32077	1065.075			
2019-07-06 19:30:00	0	27399	1069.709			
2019-07-06 19:40:00	0	23922	1073.719			
2019-07-06 19:50:00	0	20159	1077.181			
2019-07-06 20:00:00	0	16582	1079.933			
2019-07-06 20:10:00	0	13183	1082.191			
2019-07-06 20:20:00	0	10596	1083.934			
2019-07-06 20:30:00	0	6440	1085.104			
2019-07-06 20:40:00	0	1973	1085.453			
2019-07-06 20:50:00	0	990	1085.625			
2019-07-06 21:00:00	0	485	1085.719			
2019-07-06 21:10:00	0	46	1085.742			
2019-07-06 21:20:00	0		1085.742			
2019-07-06 21:30:00	0		1085.742			
2019-07-06 21:40:00	0		1085.742			
2019-07-06 21:50:00	0		1085.742			
2019-07-06 22:00:00	0		1085.742			
2019-07-06 22:10:00	0		1085.742			
2019-07-06 22:20:00	0		1085.742			
2019-07-06 22:30:00	0		1085.742			
2019-07-06 22:40:00	0		1085.742			
2019-07-06 22:50:00	0		1085.742			
2019-07-06 23:00:00	0		1085.742			
2019-07-06 23:10:00	0		1085.742			
2019-07-07 08:30:00	0	4946	0.607			
2019-07-07 08:40:00	0	4108	1.277			
2019-07-07 08:50:00	0	3196	1.83			
2019-07-07 09:00:00	0	2499	2.26			
2019-07-07 09:10:00	0	2028	2.611			
2019-07-07 09:20:00	0	2850	3.054			
2019-07-07 09:30:00	0	6997	4.181			
2019-07-07 09:40:00	0	14238	6.436			
2019-07-07 09:50:00	0	34469	11.977			
2019-07-07 10:00:00	0	46728	19.695			
2019-07-07 10:10:00	0	51208	28.804			
2019-07-07 10:20:00	0	45256	36.046			
2019-07-07 10:30:00	0	50804	44.523			
2019-07-07 10:40:00	0	132930	65.934			
2019-07-07 10:50:00	0	84897	81.097			
2019-07-07 11:00:00	0	107162	98.373			
2019-07-07 11:10:00	0	103250	115.139			
2019-07-07 11:20:00	0	124622	135.834			
2019-07-07 11:30:00	0	122319	156.433			
2019-07-07 11:40:00	0	123269	177.035			
2019-07-07 11:50:00	0	124879	197.524			
2019-07-07 12:00:00	0	125995	218.785			
2019-07-07 12:10:00	0	125308	239.593			
2019-07-07 12:20:00	0	128769	261.284			
2019-07-07 12:30:00	0	131119	283.046			
2019-07-07 12:40:00	0	131507	304.796			
2019-07-07 12:50:00	0	86783	319.039			
2019-07-07 13:00:00	0	117643	338.107			
2019-07-07 13:10:00	0	116907	357.452			
2019-07-07 13:20:00	0	116136	376.696			
2019-07-07 13:30:00	0	115822	396.354			
2019-07-07 13:40:00	0	114712	415.144			
2019-07-07 13:50:00	0	114745	434.5			
2019-07-07 14:00:00	0	115666	453.706			
2019-07-07 14:10:00	0	118316	473.25			
2019-07-07 14:20:00	0	99638	489.917			
2019-07-07 14:30:00	0	120226	509.522			
2019-07-07 14:40:00	0	118675	529.234			
2019-07-07 14:50:00	0	118200	548.988			
2019-07-07 15:00:00	0	116814	568.367			
2019-07-07 15:10:00	0	116357	588.124			
2019-07-07 15:20:00	0	114889	607.331			
2019-07-07 15:30:00	0	112841	625.881			
2019-07-07 15:40:00	0	110285	644.53			
2019-07-07 15:50:00	0	108939	662.757			
2019-07-07 16:00:00	0	107380	680.481			
2019-07-07 16:10:00	0	112184	698.984			
2019-07-07 16:20:00	0	72586	711.964			
2019-07-07 16:30:00	0	29330	716.805			
2019-07-07 16:40:00	0	22967	720.692			
2019-07-07 16:50:00	0	19882	724.057			
2019-07-07 17:00:00	0	18569	727.143			
2019-07-07 17:10:00	0	17414	730.048			
2019-07-07 17:20:00	0	18071	733.034			
2019-07-07 17:30:00	0	20304	736.439			
2019-07-07 17:40:00	0	25948	740.617			
2019-07-07 17:50:00	0	35099	746.528			
2019-07-07 18:00:00	0	32978	752.008			
2019-07-07 18:10:00	0	38152	758.272			
2019-07-07 18:20:00	0	41900	765.139			
2019-07-07 18:30:00	0	39017	771.534			
2019-07-07 18:40:00	0	36586	777.669			
2019-07-07 18:50:00	0	45649	785.61			
2019-07-07 19:00:00	0	55011	794.653			
2019-07-07 19:10:00	0	47927	802.713			
2019-07-07 19:20:00	0	38305	809.343			
2019-07-07 19:30:00	0	31261	814.593			
2019-07-07 19:40:00	0	24776	818.803			
2019-07-07 19:50:00	0	24392	822.855			
2019-07-07 20:00:00	0	20771	826.35			
2019-07-07 20:10:00	0	16949	829.289			
2019-07-07 20:20:00	0	6468	830.453			
2019-07-07 20:30:00	0	3033	830.944			
2019-07-07 20:40:00	0	5317	831.845			
2019-07-07 20:50:00	0	3975	832.531			
2019-07-07 21:00:00	0	2741	832.983			
2019-07-07 21:10:00	0	1133	833.187			
2019-07-07 21:20:00	0	135	833.23			
2019-07-07 21:30:00	0	1	833.23			
2019-07-07 21:40:00	0		833.23			
2019-07-07 21:50:00	0		833.23			
2019-07-07 22:00:00	0		833.23			
2019-07-07 22:10:00	0		833.23			
2019-07-07 22:20:00	0		833.23			
2019-07-07 22:30:00	0		833.23			
2019-07-07 22:40:00	0		833.23			
2019-07-07 22:50:00	0		833.23			
2019-07-07 23:00:00	0		833.23			
2019-07-07 23:10:00	0		833.23			
2019-07-08 08:10:00	0	43987	0.612			
2019-07-08 08:20:00	0	43341	8.746			
2019-07-08 08:30:00	0	38443	15.125			
2019-07-08 08:40:00	0	34925	20.8			
2019-07-08 08:50:00	0	34484	26.688			
2019-07-08 09:00:00	0	35193	32.539			
